,0,1,2
432,desoximetasone,seborrheic dermatitis,nuclear receptor subfamily 3 group c member 1
433,almotriptan,migraine disorder,5-hydroxytryptamine receptor 1b
434,almotriptan,migraine disorder,5-hydroxytryptamine receptor 1d
435,acebutolol,premature ventricular contraction,adrenoceptor beta 1
436,apraclonidine,open-angle glaucoma,adrenoceptor alpha 2a
437,eplerenone,hypertensive disorder,nuclear receptor subfamily 3 group c member 2
438,febuxostat,hyperuricemia,xanthine dehydrogenase
439,cilastatin,bacterial endocarditis,dipeptidase 1
440,cilastatin,abdominal abscess,dipeptidase 1
441,cilastatin,abdominal infection,dipeptidase 1
442,cilastatin,streptococcal pneumonia,dipeptidase 1
443,cilastatin,bacterial pneumonia,dipeptidase 1
444,cilastatin,endometritis,dipeptidase 1
445,clonidine,hypertensive disorder,adrenoceptor alpha 2a
446,clonidine,hypertensive disorder,adrenoceptor alpha 2b
447,clonidine,hypertensive disorder,adrenoceptor alpha 2c
448,clonidine,"attention deficit hyperactivity disorder, inattentive type",adrenoceptor alpha 2a
449,clonidine,"attention deficit hyperactivity disorder, inattentive type",adrenoceptor alpha 2b
450,clonidine,"attention deficit hyperactivity disorder, inattentive type",adrenoceptor alpha 2c
451,clonidine,open-angle glaucoma,adrenoceptor alpha 2a
452,clonidine,open-angle glaucoma,adrenoceptor alpha 2b
453,clonidine,open-angle glaucoma,adrenoceptor alpha 2c
454,tranexamic acid,endometriosis,plasminogen
455,tranexamic acid,menorrhagia,plasminogen
456,trimethadione,epilepsy,calcium voltage-gated channel subunit alpha1 g
457,trimethadione,epilepsy,calcium voltage-gated channel subunit alpha1 h
458,trimethadione,epilepsy,calcium voltage-gated channel subunit alpha1 i
459,crisaborole,"dermatitis, atopic",phosphodiesterase 4a
460,crisaborole,"dermatitis, atopic",phosphodiesterase 4b
461,crisaborole,"dermatitis, atopic",phosphodiesterase 4c
462,crisaborole,"dermatitis, atopic",phosphodiesterase 4d
463,ibrutinib,waldenstrom macroglobulinemia,bruton tyrosine kinase
464,ibrutinib,mantle cell lymphoma,bruton tyrosine kinase
465,selegiline,parkinson disease,monoamine oxidase b
466,selegiline,parkinson disease,monoamine oxidase a
467,selegiline,major depressive disorder,monoamine oxidase b
468,selegiline,major depressive disorder,monoamine oxidase a
469,sitagliptin,type 2 diabetes mellitus,dipeptidyl peptidase 4
470,beraprost,pulmonary arterial hypertension,prostaglandin i2 receptor
471,valbenazine,tardive dyskinesia,solute carrier family 18 member a2
472,radotinib,"chronic myelogenous leukemia, bcr-abl1 positive","abl proto-oncogene 1, non-receptor tyrosine kinase"
473,bepridil,angina pectoris,"troponin c1, slow skeletal and cardiac type"
474,ethinylestradiol,premenstrual dysphoric disorder,estrogen receptor 1
475,ethinylestradiol,hot flashes,estrogen receptor 1
476,ethinylestradiol,acne,estrogen receptor 1
477,ethinylestradiol,postmenopausal atrophic vaginitis,estrogen receptor 1
478,ethinylestradiol,postmenopausal osteoporosis,estrogen receptor 1
479,sildenafil,pulmonary arterial hypertension,phosphodiesterase 5a
480,miglitol,type 2 diabetes mellitus,maltase-glucoamylase
481,miglitol,type 2 diabetes mellitus,alpha glucosidase
482,miglitol,type 2 diabetes mellitus,glucosidase ii alpha subunit
483,miglitol,type 2 diabetes mellitus,"glucosidase alpha, neutral c"
484,isoprenaline,cardiac arrest,adrenoceptor beta 1
485,isoprenaline,cardiac arrest,adrenoceptor beta 2
486,isoprenaline,cardiac arrest,adrenoceptor beta 3
487,isoprenaline,atrioventricular block,adrenoceptor beta 1
488,isoprenaline,atrioventricular block,adrenoceptor beta 2
489,isoprenaline,atrioventricular block,adrenoceptor beta 3
490,isoprenaline,decreased cardiac output,adrenoceptor beta 1
491,isoprenaline,decreased cardiac output,adrenoceptor beta 2
492,isoprenaline,decreased cardiac output,adrenoceptor beta 3
493,isoprenaline,common cold,adrenoceptor beta 1
494,isoprenaline,common cold,adrenoceptor beta 2
495,isoprenaline,common cold,adrenoceptor beta 3
496,isoprenaline,shock,adrenoceptor beta 1
497,isoprenaline,shock,adrenoceptor beta 2
498,isoprenaline,shock,adrenoceptor beta 3
499,talinolol,hypertensive disorder,adrenoceptor beta 1
500,cyproheptadine,atopic conjunctivitis,histamine receptor h1
501,cyproheptadine,pruritus,histamine receptor h1
502,cyproheptadine,urticaria,histamine receptor h1
503,cyproheptadine,sneeze,histamine receptor h1
504,cyproheptadine,allergic rhinitis,histamine receptor h1
505,pindolol,hypertensive disorder,adrenoceptor beta 1
506,pindolol,hypertensive disorder,adrenoceptor beta 2
507,bortezomib,mantle cell lymphoma,proteasome 20s subunit beta 5
508,bortezomib,mantle cell lymphoma,proteasome 20s subunit beta 1
509,bortezomib,plasma cell myeloma,proteasome 20s subunit beta 5
510,bortezomib,plasma cell myeloma,proteasome 20s subunit beta 1
511,magnesium salicylate,back pain,prostaglandin-endoperoxide synthase 1
512,magnesium salicylate,back pain,prostaglandin-endoperoxide synthase 2
513,magnesium salicylate,bursitis,prostaglandin-endoperoxide synthase 1
514,magnesium salicylate,bursitis,prostaglandin-endoperoxide synthase 2
515,magnesium salicylate,arthralgia,prostaglandin-endoperoxide synthase 1
516,magnesium salicylate,arthralgia,prostaglandin-endoperoxide synthase 2
517,magnesium salicylate,synovitis,prostaglandin-endoperoxide synthase 1
518,magnesium salicylate,synovitis,prostaglandin-endoperoxide synthase 2
519,magnesium salicylate,dysmenorrhea,prostaglandin-endoperoxide synthase 1
520,magnesium salicylate,dysmenorrhea,prostaglandin-endoperoxide synthase 2
521,magnesium salicylate,osteoarthritis,prostaglandin-endoperoxide synthase 1
522,magnesium salicylate,osteoarthritis,prostaglandin-endoperoxide synthase 2
523,magnesium salicylate,pain,prostaglandin-endoperoxide synthase 1
524,magnesium salicylate,pain,prostaglandin-endoperoxide synthase 2
525,magnesium salicylate,fever,prostaglandin-endoperoxide synthase 1
526,magnesium salicylate,fever,prostaglandin-endoperoxide synthase 2
527,magnesium salicylate,rheumatoid arthritis,prostaglandin-endoperoxide synthase 1
528,magnesium salicylate,rheumatoid arthritis,prostaglandin-endoperoxide synthase 2
529,magnesium salicylate,headache disorder,prostaglandin-endoperoxide synthase 1
530,magnesium salicylate,headache disorder,prostaglandin-endoperoxide synthase 2
531,baricitinib,rheumatoid arthritis,janus kinase 1
532,baricitinib,rheumatoid arthritis,janus kinase 2
533,baricitinib,rheumatoid arthritis,janus kinase 3
534,baricitinib,rheumatoid arthritis,tyrosine kinase 2
535,budesonide,crohn disease,nuclear receptor subfamily 3 group c member 1
536,budesonide,asthma,nuclear receptor subfamily 3 group c member 1
537,budesonide,allergic rhinitis,nuclear receptor subfamily 3 group c member 1
538,citalopram,depressive disorder,solute carrier family 6 member 4
539,citalopram,major depressive disorder,solute carrier family 6 member 4
540,nisoldipine,hypertensive disorder,calcium voltage-gated channel auxiliary subunit alpha2delta 1
541,nisoldipine,hypertensive disorder,calcium voltage-gated channel auxiliary subunit beta 2
542,vilazodone,major depressive disorder,solute carrier family 6 member 4
543,vilazodone,major depressive disorder,5-hydroxytryptamine receptor 1a
544,etelcalcetide,secondary hyperparathyroidism,calcium sensing receptor
545,cilostazol,intermittent vascular claudication,phosphodiesterase 3a
546,diclofenamide,open-angle glaucoma,carbonic anhydrase 1
547,diclofenamide,open-angle glaucoma,carbonic anhydrase 2
548,diclofenamide,open-angle glaucoma,carbonic anhydrase 4
549,diclofenamide,open-angle glaucoma,carbonic anhydrase 7
550,diclofenamide,open-angle glaucoma,carbonic anhydrase 12
551,ethacrynic acid,edema,solute carrier family 12 member 1
552,oprelvekin,thrombocytopenia,interleukin 11 receptor subunit alpha
553,tolazoline,vascular disorder,adrenoceptor alpha 1a
554,tolazoline,vascular disorder,adrenoceptor alpha 2a
555,tolazoline,vascular disorder,adrenoceptor alpha 2b
556,tolazoline,vascular disorder,adrenoceptor alpha 2c
557,tolazoline,vascular disorder,histamine receptor h1
558,tolazoline,vascular disorder,histamine receptor h2
559,tolazoline,cerebrovascular disorder,histamine receptor h1
560,tolazoline,cerebrovascular disorder,histamine receptor h2
561,tolazoline,cerebrovascular disorder,adrenoceptor alpha 1a
562,tolazoline,cerebrovascular disorder,adrenoceptor alpha 2a
563,tolazoline,cerebrovascular disorder,adrenoceptor alpha 2b
564,tolazoline,cerebrovascular disorder,adrenoceptor alpha 2c
565,tolazoline,persistent fetal circulation syndrome,histamine receptor h1
566,tolazoline,persistent fetal circulation syndrome,histamine receptor h2
567,tolazoline,persistent fetal circulation syndrome,adrenoceptor alpha 1a
568,tolazoline,persistent fetal circulation syndrome,adrenoceptor alpha 2a
569,diclofenamide,angle-closure glaucoma,carbonic anhydrase 1
570,diclofenamide,angle-closure glaucoma,carbonic anhydrase 2
571,diclofenamide,angle-closure glaucoma,carbonic anhydrase 4
572,diclofenamide,angle-closure glaucoma,carbonic anhydrase 7
573,diclofenamide,angle-closure glaucoma,carbonic anhydrase 12
574,venetoclax,b-cell chronic lymphocytic leukemia,bcl2 apoptosis regulator
575,ketoprofen,rheumatoid arthritis,prostaglandin-endoperoxide synthase 1
576,ketoprofen,rheumatoid arthritis,prostaglandin-endoperoxide synthase 2
577,ketoprofen,rheumatoid arthritis,c-x-c motif chemokine receptor 1
578,ketoprofen,pain,prostaglandin-endoperoxide synthase 1
579,ketoprofen,pain,prostaglandin-endoperoxide synthase 2
580,ketoprofen,dysmenorrhea,prostaglandin-endoperoxide synthase 1
581,ketoprofen,dysmenorrhea,prostaglandin-endoperoxide synthase 2
582,clotrimazole,acne,toll like receptor 2
583,lusutrombopag,thrombocytopenia,"mpl proto-oncogene, thrombopoietin receptor"
584,levocabastine,atopic conjunctivitis,neurotensin receptor 2
585,ethosuximide,absence epilepsy,calcium voltage-gated channel subunit alpha1 g
586,empagliflozin,type 2 diabetes mellitus,solute carrier family 5 member 2
587,cimetidine,duodenal ulcer,histamine receptor h2
588,cimetidine,gastric ulcer,histamine receptor h2
589,cimetidine,zollinger-ellison syndrome,histamine receptor h2
590,cimetidine,multiple endocrine neoplasia,histamine receptor h2
591,cimetidine,dyspepsia,histamine receptor h2
592,cimetidine,gastroesophageal reflux disease,histamine receptor h2
593,cimetidine,systemic mastocytosis,histamine receptor h2
594,naloxone,opiate dependence,opioid receptor mu 1
595,naloxone,opiate dependence,opioid receptor delta 1
596,naloxone,opiate dependence,opioid receptor kappa 1
597,naloxone,pain,opioid receptor mu 1
598,naloxone,pain,opioid receptor delta 1
599,naloxone,pain,opioid receptor kappa 1
600,benzatropine,postencephalitic parkinson disease,solute carrier family 6 member 3
601,benzatropine,postencephalitic parkinson disease,cholinergic receptor muscarinic 1
602,benzatropine,parkinsonian disorder,solute carrier family 6 member 3
603,benzatropine,parkinsonian disorder,cholinergic receptor muscarinic 1
604,benzatropine,basal ganglia disorder,solute carrier family 6 member 3
605,benzatropine,basal ganglia disorder,cholinergic receptor muscarinic 1
606,benzatropine,parkinson disease,solute carrier family 6 member 3
607,benzatropine,parkinson disease,cholinergic receptor muscarinic 1
608,imipramine,depressive disorder,solute carrier family 6 member 2
609,imipramine,depressive disorder,solute carrier family 6 member 4
610,nifedipine,hypertensive disorder,calcium voltage-gated channel subunit alpha1 c
611,nifedipine,prinzmetal angina,calcium voltage-gated channel subunit alpha1 c
612,nifedipine,angina pectoris,calcium voltage-gated channel subunit alpha1 c
613,dantrolene,spasticity,ryanodine receptor 1
614,dantrolene,"malignant hyperthermia, susceptibility to, 1",ryanodine receptor 1
615,alimemazine,urticaria,histamine receptor h1
616,alimemazine,sneeze,histamine receptor h1
617,alimemazine,angioedema,histamine receptor h1
618,alimemazine,atopic conjunctivitis,histamine receptor h1
619,alimemazine,pruritus,histamine receptor h1
620,alimemazine,allergic rhinitis,histamine receptor h1
621,dapoxetine,premature ejaculation,solute carrier family 6 member 4
622,histrelin,precocious puberty,gonadotropin releasing hormone receptor
623,befunolol,open-angle glaucoma,adrenoceptor beta 1
624,befunolol,open-angle glaucoma,adrenoceptor beta 2
625,befunolol,ocular hypertension,adrenoceptor beta 1
626,befunolol,ocular hypertension,adrenoceptor beta 2
627,indapamide,edema,solute carrier family 12 member 3
628,indapamide,hypertensive disorder,solute carrier family 12 member 3
629,meclofenamic acid,rheumatoid arthritis,prostaglandin-endoperoxide synthase 1
630,meclofenamic acid,rheumatoid arthritis,prostaglandin-endoperoxide synthase 2
631,meclofenamic acid,menorrhagia,prostaglandin-endoperoxide synthase 1
632,meclofenamic acid,menorrhagia,prostaglandin-endoperoxide synthase 2
633,meclofenamic acid,dysmenorrhea,prostaglandin-endoperoxide synthase 1
634,meclofenamic acid,dysmenorrhea,prostaglandin-endoperoxide synthase 2
635,meclofenamic acid,pain,prostaglandin-endoperoxide synthase 1
636,meclofenamic acid,pain,prostaglandin-endoperoxide synthase 2
637,meclofenamic acid,osteoarthritis,prostaglandin-endoperoxide synthase 1
638,meclofenamic acid,osteoarthritis,prostaglandin-endoperoxide synthase 2
639,rizatriptan,migraine disorder,5-hydroxytryptamine receptor 1b
640,rizatriptan,migraine disorder,5-hydroxytryptamine receptor 1d
641,rizatriptan,migraine disorder,5-hydroxytryptamine receptor 1f
642,methyltestosterone,eunuchism,androgen receptor
643,methyltestosterone,delayed puberty,androgen receptor
644,perphenazine,schizophrenia,dopamine receptor d2
645,choline magnesium trisalicylate,fever,prostaglandin-endoperoxide synthase 1
646,choline magnesium trisalicylate,fever,prostaglandin-endoperoxide synthase 2
647,choline magnesium trisalicylate,rheumatoid arthritis,prostaglandin-endoperoxide synthase 1
648,choline magnesium trisalicylate,rheumatoid arthritis,prostaglandin-endoperoxide synthase 2
649,choline magnesium trisalicylate,osteoarthritis,prostaglandin-endoperoxide synthase 1
650,choline magnesium trisalicylate,osteoarthritis,prostaglandin-endoperoxide synthase 2
651,choline magnesium trisalicylate,pain,prostaglandin-endoperoxide synthase 1
652,choline magnesium trisalicylate,pain,prostaglandin-endoperoxide synthase 2
653,dexlansoprazole,peptic ulcer disease,atpase h+/k+ transporting subunit alpha
654,dexlansoprazole,peptic ulcer disease,atpase h+/k+ transporting subunit beta
655,dexlansoprazole,gastroesophageal reflux disease,atpase h+/k+ transporting subunit alpha
656,dexlansoprazole,gastroesophageal reflux disease,atpase h+/k+ transporting subunit beta
657,capsaicin,postherpetic neuralgia,transient receptor potential cation channel subfamily v member 1
658,capsaicin,neuralgia,transient receptor potential cation channel subfamily v member 1
659,capsaicin,back pain,transient receptor potential cation channel subfamily v member 1
660,ibrutinib,b-cell chronic lymphocytic leukemia,bruton tyrosine kinase
661,rufinamide,lennox-gastaut syndrome,sodium voltage-gated channel alpha subunit 9
662,vindesine,melanoma,tubulin beta 1 class vi
663,vindesine,lung neoplasm,tubulin beta 1 class vi
664,vindesine,"chronic myelogenous leukemia, bcr-abl1 positive",tubulin beta 1 class vi
665,treprostinil,pulmonary arterial hypertension,prostaglandin i2 receptor
666,estramustine,prostate cancer,microtubule associated protein 2
667,estramustine,prostate cancer,microtubule associated protein 1a
668,testosterone propionate,cryptorchidism,androgen receptor
